Salary cap,Playoffs,Wins,Losses,PCT,FG,FG%,3P,3P%,2P,2P%,FT,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
120814452,Yes,48,34,0.585,42.7,0.483,10.2,0.362,32.5,0.54,16.1,0.772,8.7,35.7,44.3,26.8,8,5.9,14.9,19.1,111.7
120521249,Yes,44,38,0.537,39.7,0.478,8.8,0.355,31,0.531,18.3,0.783,8.4,31.5,39.8,23.2,8.8,5.4,13.8,21.4,106.5
119905532,Yes,65,17,0.793,38.7,0.46,15.3,0.362,23.4,0.558,19.6,0.781,9,34.5,43.5,21.5,8.5,4.8,13.8,19.5,112.4
119773191,No,39,43,0.476,39.1,0.45,10.8,0.373,28.3,0.488,14.7,0.745,10.1,33.6,43.7,22.8,7.7,3.9,13.5,18.4,103.8
119093010,No,42,40,0.512,40.3,0.471,9.5,0.354,30.8,0.525,19,0.743,10.1,33.7,43.9,22.3,7.7,4.5,14.7,20,109
118708146,Yes,49,33,0.598,39.3,0.452,10.3,0.366,29,0.493,16.7,0.8,10.2,35.3,45.5,19.5,7,5.2,13.5,19.5,105.6
117382664,No,36,46,0.439,39,0.45,10,0.369,28.9,0.487,20.2,0.747,10.1,35.4,45.5,21.6,6.8,4.5,12.7,17.2,108.2
116929373,Yes,59,23,0.72,41.3,0.472,11.8,0.358,29.5,0.541,17.3,0.794,9.8,34.2,44,24.3,7.6,6.1,13.4,21.7,111.7
116075131,Yes,47,35,0.573,41,0.476,8,0.357,33,0.519,19.4,0.804,10.3,31.6,42,22.7,8.4,4.2,12.5,18.2,109.5
115284776,Yes,55,27,0.671,38.3,0.45,11.5,0.377,26.9,0.491,16,0.771,9.4,35.1,44.5,22.5,7.4,4.5,14,19.7,104
114633844,Yes,47,35,0.573,39,0.457,8.5,0.352,30.6,0.499,16.1,0.772,10.4,33.9,44.2,22.8,7.7,5.6,13.1,17.2,102.7
110700149,No,22,60,0.268,36.7,0.444,9.2,0.352,27.5,0.486,16.6,0.786,9.5,31,40.5,21.5,7.5,4.8,15,23.2,99.3
107543599,No,46,36,0.561,40.7,0.47,11.5,0.371,29.2,0.525,17.1,0.767,11,33.5,44.5,25.1,7.6,4.9,15,18.7,110
105606838,Yes,48,34,0.585,38.3,0.462,10.8,0.366,27.5,0.515,16.8,0.779,9,34.2,43.3,22.4,8.6,5.1,14.7,19.6,104
105403130,No,29,53,0.354,40.7,0.464,8.2,0.352,32.5,0.504,14.9,0.787,10.5,33.6,44,23.3,6.7,5.1,14.7,20.5,104.5
103126557,No,35,47,0.427,40.7,0.461,10,0.345,30.7,0.517,16.6,0.714,10.7,35.7,46.4,23.8,7.7,4.7,15.8,21.2,108.1
100797386,Yes,52,30,0.634,40.8,0.472,11,0.369,29.9,0.526,17.1,0.752,10.9,36.5,47.4,27.1,8.3,5.1,16.5,22.1,109.8
99992696,No,24,58,0.293,38.2,0.446,11.2,0.36,27,0.495,15.8,0.785,9.1,32.8,41.9,23.7,7.8,4.2,15.6,19.6,103.4
99587185,No,27,55,0.329,38.8,0.45,9,0.375,29.8,0.479,12.3,0.735,9.5,31.4,40.9,21.6,7.8,4.1,13.7,20,98.8
98700258,No,25,57,0.305,38.8,0.452,10.3,0.351,28.5,0.504,15.5,0.757,8.8,32.8,41.6,23.4,7.6,4.9,14.5,19.3,103.4
95475397,No,28,54,0.341,38.2,0.441,12.7,0.356,25.5,0.5,17.4,0.772,9.7,34.8,44.4,23.7,6.2,4.8,15.2,20.6,106.6
95271736,Yes,48,34,0.585,40.8,0.472,9,0.369,31.8,0.513,14.9,0.779,9.6,32.7,42.3,22.2,8.8,4.1,13.3,18.8,105.6
92684083,No,21,61,0.256,38.5,0.442,9.3,0.334,29.1,0.492,17.7,0.741,10.3,33.9,44.1,21.3,6.9,4.5,15.7,22,103.9
90466801,No,27,55,0.329,38.7,0.435,11,0.355,27.6,0.478,14.6,0.759,9.6,35,44.7,23.5,7.6,3.5,14,19.2,102.9
85440245,No,24,58,0.293,38.1,0.444,11.8,0.36,26.4,0.496,14.2,0.763,8.1,33.1,41.3,22.7,7,3.8,12.3,19.2,102.3
